Symptom,CarDiagnoses,Description,inspectionList,childWebPageList.childWebPageList.childWebPageList.problemList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.val,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList,childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList
"If you know what is wrong, start by selecting it: Engine Performance. What is your engine performance problem? Ignition misfire",Faulty Coil Over Plug,Faulty coil over plug.,"['1) Start your vehicle.', '2) Locate your check engine light and monitor its status.', '3) Verify that the check engine light is on while the engine is running.', '4) Connect scanner to the OBD output.', '5) Follow the scanner ۪s instructions to retrieve diagnostic trouble code(s).']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a hard brake pedal.",Vacuum leaks,"Vacuum is responsible for drawing air into the cylinders, it is also responsible for the operation of emissions system, braking system and cruise control system components. Vacuum is transfered through a complex system of rubber hoses and/or plastic tubes. The engine creates a great deal of heat and over time can cause the rubber and plastic hoses to dry out and leak. A vacuum leak can be elusive and take a long time to detect. Common symptoms of a vacuum leak include; vehicle idle fluctuation, hard brake pedal, and a hissing noise heard under the hood.","['1) Open the hood and locate the vacuum hoses. Some Vehicles are equipped with a vacuum hose diagram that can be found under the hood, if not a repair manual is the best way to find were all the vacuum hoses are located for your vehicle. Vacuum hoses are rubber hoses or plastic\xa0tubes that operate and control systems such as, emissions, \xa0power brakes, and cruise control. Vacuum leaks can also cause idling and drivability problems.', '2) It may be necessary to use a flashlight in order inspect possible damaged vacuum hoses. Check the vacuum hose that leads to the\xa0brake booster for damage or if it is loose.', '3) Continue to inspect for cracked or broken vacuum hoses throughout the engine compartment. Look for worn or disconnected hoses or tubes.', '4) Use a can of carburetor cleaner to spray suspecting hoses. With the vehicle running, spray the hose. If the hose has a leak it will pull the carburetor cleaner in and stabilize the idle for a brief time. If changes are heard after spraying\xa0the vacuum hose, it is necessary to replace that particular hose.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a hard brake pedal.",Brake Booster Failure,"The power brake booster multiplies the force exerted on the master cylinder. A damaged internal diaphragm is the most common reason for brake booster failure. If this problem occurs, the driver will experience a hard brake pedal and have difficulty stopping the vehicle.","['1) With the engine off,\xa0relieve the brake booster of all vacuum by\xa0pumping the brake pedal\xa0several times.', '2) With\xa0the brake pedal depressed, start the engine. The brake pedal should sink slightly when the engine starts. If the\xa0pedal does not sink, the brake booster has failed or it is not receiving vacuum from the engine.', '3) Open the hood and locate the brake booster, mounted to the firewall,\xa0on the driver side of the engine compartment.', '4) Check for vacuum\xa0at the brake booster by pulling the check valve and hose from the booster.\xa0Cover the check valve opening with your thumb. If the vacuum is strong, the brake booster will need to be replaced. If the vacuum is weak, inspect the hose and the check valve.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Binding Brake Caliper,Uneven brake pad wear and rust build up are good indicators of a binding brake caliper. A binding brake caliper can cause the vehicle to pull left or right.,"['1) Secure the vehicle on a level surface, making sure\xa0the vehicle\xa0will not roll or lean when jacked up.', '2) Use a floor jack to lift the vehicle.', '3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.', '4) Remove the front wheels by loosening the lug nuts.', '5) Visually inspect the brake caliper for any signs of binding. Check\xa0for dirt built up on the caliper, also inspect for lack of lubrication', '6) Check\xa0for uneven brake wear; a\xa0binding caliper will cause the brake pads\xa0to wear out sooner on one side.', '7) Check for brake fluid leaks around the caliper housing as well as on the\xa0inside edges close to the piston(s).', '8) There is a rubber seal that is installed around the inside edge of the caliper piston. Check the rubber seal for leaks, tears and condition. This seal is responsible for much of the caliper function and can cause binding if found to be damaged.', '9) If no leaks or seal damage is found, it will be necessary to replace the faulty brake caliper.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Loose or Worn Suspension Parts,"Loose or worn suspension components will affect vehicle handling and wheel alignment. Loose wheel bearings and worn bushings can cause virbrations, pulling, and increased tire wear.","['1) Open\xa0the hood and locate the top of\xa0the\xa0suspension strut mounts/shock towers.', '2) Before starting any repairs, be\xa0sure \xa0the vehicle is in park.\xa0\xa0Have an assistant push down on the fender to simulate driving over bumps.', '3) Locate and Inspect the upper shock mounts on the inside of the engine compartment and underneath the wheel well for damage.', '4) Close\xa0the hood, then secure\xa0the vehicle on a level surface, making sure it\xa0 will not roll or lean when jacked up.', '5) Inspect the vehicle ride height (coil springs, struts, or torsion bars). Some owner ۪s manuals will have ride height specifications.\xa0 The left and right side measurements should be equal.', '6) Using a floor jack, lift the front of\xa0the vehicle.', '7) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle.', '8) Inspect all suspension grease boots for damage and make sure the boots are full of grease.', '9) Use a grease gun and apply grease through the zerk fitting (grease fitting). When the grease begins to ooze from the joint, the boot is full.', '10) Inspect sway bar mounts and end linkage for loose, bent, or missing components. Any damaged linkage will need to be replaced.', '11) Inspect the control arms for damage to the bushings and ball joints. Bushing kits and ball joints are available for replacement; however, replacing the control arm assembly may also be\xa0an option.', '12) Inspect the steering rack, steering box, steering column, and the inner tie rod linkage.', '13) Inspect the outer tie rod ends for excessive play at the connection to the steering knuckle. You will also want to inspect the tie rod boots for damage.\xa0Note: On some vehicles, it may be necessary to remove the wheels to see and inspect the outer tie rod end.', '14) Replace the necessary suspension system components and take the vehicle to a certified technician for proper alignment.', '15) Test drive the vehicle and verify if there is suspension noise.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Uneven Tire Pressure,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","['1) Locate the tire ۪s valve stem and remove the valve stem cap.', '2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.', '3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located\xa0on the side\xa0wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires.\xa0Some manufacturers also put it on the\xa0manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire\xa0ratings, and tire pressure.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes pull.",Contaminated Brake Linings,"Brake linings that are contaminated with oil, grease and brake fluid will cause uneven braking. The pads and shoes must be replaced and the source of the contamination repaired. Check for leaking brake calipers, wheel cylinders, grease seals, and axle seals.","['1) Secure your vehicle on a level surface, making sure your car will not roll or lean when jacked up.', '2) Remove the front wheel hub caps if applicable. Using a tire iron, break loose the front wheel lug nuts but do not remove.', '3) Using a floor jack, lift up the front of your vehicle.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the front wheel lug nuts. Remove the front wheels and set them aside.', '6) Repeat steps 2 through 4 to remove the rear wheels.', '7) Inspect the brake caliper for any signs of binding. Look for dirt built up on the caliper slides or lack of lubricant.', '8) For drum brakes, remove the brake drum to gain access to the wheel cylinder. Inspect wheel cylinder for fluid leaks or torn cup seals.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are grinding.",Worn Rear Brakes,Excessive brake lining wear that exposes the brake shoe metal or rivets will score the brake drum surface. This metal-to-metal contact between the shoe and the drum creates a grinding sound.,"['1) Park\xa0the vehicle on a solid, level surface and chock the front wheels.', '2) Remove the rear wheel hub caps if applicable.\xa0Using a tire iron or lug nut wrench, break loose the rear wheel lug nuts but do not remove.', '3) Lift up the rear of the vehicle with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts.\xa0Remove the rear wheels.', '6) If applicable, remove the brake drum retaining clips or screws.\xa0Make sure the parking brake is released and mark the drums for installation reference. Remove the brake drums\xa0from the hubs or axle flanges.\xa0', '7) Clean the brake shoes and drums\xa0with a water-based solution.\xa0Inspect the inside of the drum for grooves, scoring, and heat discoloration.\xa0', '8) Measure the inside diameter of the drum, at two locations,\xa0with a drum micrometer. The measurements should be equal and below the maximum diameter\xa0stamped on the drum.\xa0', '9) Next, carefully inspect the brake shoe linings for wear, heat cracks and fluid contamination. The\xa0condition\xa0of the\xa0linings can often reveal a problem with the brake drums, wheel cylinders, and axle seals.', '10) Inspect the brake hardware for damage.\xa0Check the wheel cylinders for\xa0leaking brake fluid.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are grinding.",Worn Front Brakes,A grinding noise occurs when the brake pad lining wears and the metal backing is contacting the brake disc (rotor).,"['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Brake Pad Quality and Rotor Finish,"Replacing the pads and resurfacing the rotors are usually necessary to fix the annoying brake squeals. Brake squeals are caused by high frequency vibrations. The design of the brake pads, the pad surface, and the rotor finish can cause vibrations.","['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Worn Brake Pads,A grinding noise occurs when the brake pad lining wears and the metal backing is contacting the brake disc (rotor).,"['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brakes are squealing.",Brake Pad Wear Indicator is Contacting Rotor,"The brake pad wear indicator is a metal tab attached to the brake pad. When enough of the friction material is worn away, the wear indicator will contact the rotor and make a squealing sound.","['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My ABS light is on.",ABS System Fault,"If the ABS warning light flashes or remains on after the engine is started, there is a problem with the antilock braking system. If the light is flashing, the ABS is still operating but the system needs attention. If the light is on solid, the ABS system is not operating. The brakes will still function without the ABS, but the vehicle may skid in the event of a sudden stop. Troubleshooting the ABS system may require a scan tool.","['1) Locate your vehicles OBD connection.', '2) Plug your scan tool into the OBD connection with the key in the ON position.', '3) Gather all trouble codes and refer to a vehicle specific service manual for a trouble code index that directs you to the specific component. Refer to our diagnostic trouble coded chart to help you determine your code.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Parking Brake Lever Engaged,"If the parking brake is on, the brake warning light will appear on the dash. Make sure the parking brake lever is fully released before driving the vehicle.","['1) Locate the parking brake lever under the dash or on the center console.', '2) Release the parking brake lever to verify that it was not engaged. Sometimes the lever may not be fully released.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Faulty Parking Brake Switch,The brake warning light may come on If the parking brake switch is damaged or stuck.,"['1) Locate the parking brake lever under the dash or on the center console. Make sure the lever is fully released.', '2) Remove the center console if applicable.', '3) Locate the parking brake switch next to the lever. Verify that the lever is contacting the switch.', '4) Disconnect the electrical connector to the switch and turn on the ignition. If the warning light is not on, then the switch is faulty.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? My brake warning light is on.",Low Brake Fluid,"If the brake fluid is low, the sensor in the master cylinder reservoir will trigger the brake warning light. Worn brake pads or a system leak may be the cause. A brake safety inspection should be performed.","['1) Open the hood and locate the brake master cylinder reservoir on the driver side firewall.', '2) If the reservoir is clear, check the brake fluid level.', '3) If the reservoir is not clear, clean the reservoir with a shop towel and remove the cap to inspect the brake fluid level.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Brake Master Cylinder Internal Leak.,A sinking brake pedal and low fluid levels are symptoms of a defective master cylinder. These symptoms may be caused by internal or external leaks. The master cylinder will wear at a quicker rate if periodic fluid flushes are neglected or if the fluid levels are left out of specification.,"['1) Open the hood and locate the\xa0brake master cylinder.', '2) After locating the brake master cylinder, remove the fluid reservoir cap and inspect the brake fluid level.', '3) If the brake fluid level is within\xa0specification, re-install the cap. Inspect and make sure the reservoir cap does not leak. If it is suspected of leaking, replace the cap.', '4) Step on the brake pedal, and check if the brake pedal gradually sinks all the way down to the floor. If it does, it will be necessary to replace the master cylinder.', '5) Perform a complete visual inspection of the brake master cylinder. Check all attached brake line fittings and directly behind the assembly for fluid leaks. If leaks are suspected, replace the master cylinder.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Brakes not Adjusted,"Brakes that are not adjusted properly can cause a lower than normal brake pedal. Most vehicles have self-adjusting brakes, but sometimes the self-adjusters become frozen. If the parking brake does not hold when fully activated, the brakes may need to be adjusted.","['1) Locate\xa0the\xa0parking brake lever. It can be foot or hand operated.', '2) Park the vehicle on a slight incline and set the parking brake lever fully.', '3) Place the vehicle in neutral. If the vehicle creeps or rolls, the brake shoes or parking brake cable\xa0needs to be adjusted.\xa0The brake shoes must be adjusted before\xa0the parking brake cable.', '4) Park the vehicle on a solid, level surface. Check the parking brake linkage and equalizer\xa0for worn parts. Check the movement and condition of the cables.', '5) Lift\xa0up the rear of the vehicle and support it with jack stands.\xa0To locate the star wheel adjusters, remove the rubber grommets\xa0on the brake drum backing plates.', '6) Try to move the adjuster with a flat head screw driver.\xa0If the adjuster\xa0does not move,\xa0the rear brakes will need to be inspected and the adjuster repaired.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a spongy or low brake pedal.",Air in Brake Hydraulic System,"Trapped air in the brake system can cause a spongy brake pedal. Air usually enters the system through moisture that is absorbed by the brake fluid. Air can also enter the system during a service procedure or a component failure. If enough air enters the brake system, complete brake failure can occur.","['1) Open the hood and locate the brake master cylinder reservoir on the drivers side next to the firewall.', '2) Check\xa0the brake fluid levels inside the reservoir. Most brake fluid reservoirs are clear and have a ""Min"" and\xa0""Max""\xa0indicator stamped on the side. Always make sure the level is between the\xa0indicators.', '3) Clean the top of the reservoir and remove\xa0the cap.\xa0Inspect the color of the brake fluid. If the color is dark, the fluid may be contaminated. Bleeding the brakes is recommended.', ""4) If the level is below the MIn mark and the fluid is still clear, add the manufacturer's recommended type of brake fluid. DOT 3 is the most common."", '5) To check for\xa0air in the fluid, place the cap on the reservoir and have an assistant pump the brake pedal several times to pressure the system.\xa0Remove the the cap and have the assistant release the pedal. If air is in the system, it will cause the brake fluid to squirt back into the reservoir.', '6) Inspect the reservoir cap\xa0and seal for damaged.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Out-of-Round Brake Drums,"Out-of -round brake drums are often caused by extreme temperature changes during normal braking. An out-of-round drum may look okay to the naked eye, but it can cause gabbing, pulling, and pedal pulsations.","['1) Park\xa0the vehicle on a solid, level surface and chock the front wheels.', '2) Remove the rear wheel hub caps if applicable.\xa0Using a tire iron or lug nut wrench, break loose the rear wheel lug nuts but do not remove.', '3) Lift up the rear of the vehicle with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts.\xa0Remove the rear wheels.', '6) If applicable, remove the brake drum retaining clips or screws.\xa0Make sure the parking brake is released and mark the drums for installation reference. Remove the brake drums\xa0from the hubs or axle flanges.\xa0', '7) Clean the brake shoes and drums\xa0with a water-based solution.\xa0Inspect the inside of the drum for grooves, scoring, and heat discoloration.\xa0', '8) Measure the inside diameter of the drum, at two locations,\xa0with a drum micrometer. The measurements should be equal and below the maximum diameter\xa0stamped on the drum.\xa0', '9) Next, carefully inspect the brake shoe linings for wear, heat cracks and fluid contamination. The\xa0condition\xa0of the\xa0linings can often reveal a problem with the brake drums, wheel cylinders, and axle seals.', '10) Inspect the brake hardware for damage.\xa0Check the wheel cylinders for\xa0leaking brake fluid.']",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Loose or Worn Wheel Bearing,"Wheel bearings can wear over time because of dirt, lack of lubrication, and improper adjustment. A loose or worn wheel bearing can cause noises and vibrations. It can also affect vehicle handling, braking, and tire wear.","['1) Secure the vehicle on a level surface.', '2) Jack up the vehicle. Every vehicle comes equipped with a jack from the factory. To locate and properly use this jack, see the vehicle owner ۪s manual.', '3) Secure the vehicle with\xa0jack stands on both sides for safety before starting any work. Do not rely on the jack\xa0to hold the vehicle up while working.', '4) Spin the tire assembly and\xa0listen for any grinding and rumbling noises. A normal wheel bearing should sound uniform as it spins.', ""5) Next, grab the tire at the\xa0twelve o'clock and six o'clock position.\xa0Try and\xa0wobble the tire and wheel\xa0back and forth.\xa0There should\xa0be very little\xa0play when doing this.\xa0If\xa0there is too much play,\xa0the wheel bearings\xa0could be\xa0worn or out of adjustment.""]",,,,,,
"If you know what is wrong, start by selecting it: Brakes. What problem are you having with your brakes? I have a pulsating brake pedal.",Warped Brake Rotors,"A warped brake rotor can be caused by excessive heat or improper wheel lug nut torque. If you feel a pulsation or vibration in the brake pedal, check the rotors for runout and parallelism (thickness variation). Pedal pulsation is normal on vehicles with ABS when the ABS is working.","['1) \xa0Park the vehicle on a solid, level surface and chock the rear wheels.', '2) Remove the front wheel hub caps if necessary. Using a tire iron or lug nut wrench, loosen the front wheel lug nuts but do not\xa0remove.', '3) Lift the front of the vehicle\xa0with a floor jack.', '4) Secure the vehicle with jack stands on both sides for safety before starting any work. The pinch welds\xa0or the frame rails are the two best locations. Do not rely on the jack to hold the vehicle up while working.', '5) Remove the lug nuts. Remove the\xa0front wheels.', ""6) After the wheels have been removed,\xa0inspect the brake rotors for scoring, grooves, and heat\xa0discoloration. Check the brake rotor thickness with a micrometer and the\xa0lateral run-out with a dial indicator. The brake rotor must meet the manufacturer's specifications."", '7) Inspect the brake pad thickness (1/8 inch minimum) and spin the rotor to check the wear indicator. If you hear a squealing sound, the indicator is contacting the rotor and the pads need replacing. If the pad thickness is okay, remove the calipers and inspect the pad surface for glazing and cracks.', '8) Inspect the brake calipers for binding, corrosion,\xa0and missing or damaged anti-rattle clips or\xa0shims. Inspect for brake fluid leaks at the calipers and brake hoses.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Damaged carpet",Interior Floor Carpet (Damage),The vehicle ۪s carpet can become damaged from normal wear. The most common areas that wear are on the driver side carpet where your heal of your right foot is located.,['1) Step 1: Inspect your carpet for damage.'],,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Seat belt not reatracting properly",Seat Belt Malfunction,"Seat belts like any other regularly used piece of equipment can wear down over time. We all understand the importance of seat belts, so when your seat belt is not working properly you should have it taken care of immediately.","['1) Locate the seat belt and retractor to inspect its operation.', '2) Pull the seat belt\xa0as far as it will go and watch it retract.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Damaged dashboard",Damaged Dashboard,Over exposure to the sun can cause damage to the dash kit or make it crack.,"['1) Locate your vehicle ۪s dashboard.', '2) Inspect the dashboard kit for cracks.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power outlet does not work",Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out when exposed to extreme vibration, or heat. When performing an electrical system diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses.","[""1) The fuse panel can be located in different\xa0locations\xa0depending on\xa0the manufacturer, check the owners manual for exact location. If you\xa0can't find the manual, check for the fuse panel\xa0 under the dash board on\xa0drivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment."", '2) Check the back side of the fuse panel cover\xa0for\xa0a diagram of \xa0the fuses. If not use the owners manual it shoud have\xa0labels or a diagram\xa0of the fuse panel. Pull out the fuse for the circuit you are testing.', '3) Most vehicle\xa0use\xa0blade type fuses and can be checked by simply looking through the transparent plastic. There is an internal\xa0metal strip that melts when it overheats. Check the strip to see if it has melted.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working",Power Seat Switch Failure,Power seat switches can fail over time due to normal wear.,"['1) Attempt to adjust the seat with the power seat switch.', '2) Remove the seat trim panel to gain access to back side of the power seat switch.', '3) Check the power seat switch inputs to make sure the power seat switch has power and ground.', '4) Supply power and ground to power seat motor (bypassing the switch).']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working",Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out when exposed to extreme vibration, or heat. When performing an electrical system diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses.","[""1) The fuse panel can be located in different\xa0locations\xa0depending on\xa0the manufacturer, check the owners manual for exact location. If you\xa0can't find the manual, check for the fuse panel\xa0 under the dash board on\xa0drivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment."", '2) Check the back side of the fuse panel cover\xa0for\xa0a diagram of \xa0the fuses. If not use the owners manual it shoud have\xa0labels or a diagram\xa0of the fuse panel. Pull out the fuse for the circuit you are testing.', '3) Most vehicle\xa0use\xa0blade type fuses and can be checked by simply looking through the transparent plastic. There is an internal\xa0metal strip that melts when it overheats. Check the strip to see if it has melted.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Power seats not working",Bad power seat motor,Power seat motors can fail over time due to normal wear.,"['1) Attempt to adjust the seat with the power seat switch.', '2) Remove the seat trim panel to gain access to back side of the switch.', '3) Check the switch inputs to make sure switch has power and ground.', '4) Supply power and ground to the seat motor (bypassing the switch).']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Seat belt not locking",Seat Belt Malfunction,"Seat belts like any other regularly used piece of equipment can wear down over time. We all understand the importance of seat belts, so when your seat belt is not working properly you should have it taken care of immediately.","['1) Locate the seat belt and retractor to inspect its operation.', '2) Pull the seat belt\xa0as far as it will go and watch it retract.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Rear defroster is not working",Link Defroster grid,Defrosters will become damaged from normal wear.,"['1) Locate the rear defroster grid on the rear window.', '2) Turn the rear defroster on.', '3) Ground the negative cable connector with a DMM (digital multi meter).', '4) Place the positive side of the probe at the center of the grid and check for voltage at each line.']",,,,,,
"If you know what is wrong, start by selecting it: Upholstery & Interior. Here are some common interior problems Rear defroster is not working",Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out when exposed to extreme vibration, or heat. When performing an electrical system diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses.","[""1) The fuse panel can be located in different\xa0locations\xa0depending on\xa0the manufacturer, check the owners manual for exact location. If you\xa0can't find the manual, check for the fuse panel\xa0 under the dash board on\xa0drivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment."", '2) Check the back side of the fuse panel cover\xa0for\xa0a diagram of \xa0the fuses. If not use the owners manual it shoud have\xa0labels or a diagram\xa0of the fuse panel. Pull out the fuse for the circuit you are testing.', '3) Most vehicle\xa0use\xa0blade type fuses and can be checked by simply looking through the transparent plastic. There is an internal\xa0metal strip that melts when it overheats. Check the strip to see if it has melted.']",,,,,,
