childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.aidPair.key,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.title,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.description,childWebPageList.childWebPageList.childWebPageList.childWebPageList.childWebPageList.problemList.inspectionList
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,There is a growling or grinding noise,Improper Transmission Fluid Level,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Delayed engagement (Car does not respond immediately when shifted into gear),Contaminated Transmission Fluid Filter,A small transmission fluid leak at the seals may be the reason the transmission fluid is low. If the transmission is leaking it is strongly recommended to replace the faulty seal rather than just top off the fluid.,1) Open the hood and locate the transmission fluid level dipstick. 2) Check the level of transmission fluid while the vehicle is running in Park to see if it is below manufacturers specifications.']
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Delayed engagement (Car does not respond immediately when shifted into gear),Improper Transmission Fluid Level,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,There is a clunking noise when the transmission is shifting gears,Worn Transmission Mount,Transmission mounts will wear out when they are subjected to excessive force and shock.,"1) Secure your vehicle on a solid level surface so that it does not roll or lean when raised. 2) Using a floor jack, raise up the front of the vehicle. 3) Secure the vehicle with jack Stands on both sides for safety before starting any work. Do not rely on the floor jack to hold the vehicle up while working. 4) Locate the transmission mount and inspect it for damage and excessive wear.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission slips between shifts (engine revs),Improper Transmission Fluid Level,"Transmission fluid like all other fluids needs to be replaced periodically. Fluid will be become dirty and begin to lose its consistency. It is recommended to replace the transmission fluid every 30,000 miles or check with the manufacturers recommended service interval."," 1) Open the hood and locate the transmission fluid level dipstick. The transmission fluid dipstick is commonly found in the engine compartment directly above or near the location of the transmission. Some European model vehicles do not have a transmission fluid dipstick; consult the owner's manual for theexact location, if necessary.  2) Once the transmission fluid dipstick islocated, check the level of transmission fluid. To obtain an accurate level measurement,make surethe vehicle is running with the engine warm. 3) Check the color of the transmission fluid. Clean fluid will have a bright red tint. If the fluid is dark or appears dirty, it is highly recommended to have it replaced immediately. 4) Raise the vehicle and locate the transmission assembly. Raise the vehicle enough to have clear view of the entire transmission and inspect it for leaks. Most transmission havea fluid pan at the bottom, inpect the edges of the pan for leaksmake surethe gasketappears ingood condition. 5) Inspect the transmission fluid lines leading to the transmission assembly. The transmission fluid lines extend from the transmission to the front of the vehicle. The transmission fluid lines are located underneath the vehicle and lead to the bottom of the radiator. 6) Once the inspection is complete, if necessary, add transmission fluid until the proper level is reached. Use the correct type transmission fluid otherwise using wrong fluid types may causeinternal damage to the transmission.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission slips between shifts (engine revs),Automatic Transmission Fault (Hydraulic Pump),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission slips between shifts (engine revs),Automatic Transmission Fault (Valve Body Fluid Leak),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission will not downshift while passing,Automatic Transmission Fault (High Hydraulic Pressure),"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Transmission,Automatic transmission,Which of these situations best describes the vehicle's automatic transmission problem?,Transmission will not downshift while passing,Misadjusted Throttle Valve Linkage,"Automatic transmissions can fail from lack of fluid, contaminated fluid or even from harsh driving conditions. It is important to service the transmission (change transmission fluid and replace filter) about every 30K.","1) Check transmission fluid level, fill if necessary. 2) Road test the vehicle. 3) Shift transmission through all gears.']"
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Rear body panel,Damaged rear body panel,"Vehicle accidents are stressful and costly. There are many options to fixing body damage, and there are many lower cost options now available. Do some research before taking your vehicle in so you know if the part can be repaired or needs to be replaced, and if it needs to be replaced you may be able to find the part cheaper on your own and save yourself some cash.","1) Locate the damaged area of the vehicle. 2) Determine which part or parts of the vehicle are damaged. For example if your drivers side front fender is damaged,then also check fordamage at the door either from being pushed into it, or from contact. Clean off any loose paint using a cloth or rag.', ""3) Visually inspect the damage, dents can be popped out and will most likely need to be painted. Scratches or scores that go into the metal, can be bondo'd; the process of using a polyester or fiberglass resin to fill a scratch or dent in a metal or plastic body part. However if the damage isexcessive or the body part has become warped or distorted fromthe damage the best course of action is to replace the damaged body part. When it comes to large dents or scratches there is no rule of thumb; when deciding if the body part should be replaced or repaired things to consider are, the cost of the part vs repair of it, and time it would take to repair based on size of damage.  4) For plastic body parts such as; valances, bumper covers, and spoilers, you will want to check for cracks. If the plastic is cracked then it will need to be replaced, for the most part cracked plastic is not easily repaired and it isbest to replace the part. 5) When the damage is beyond a simple patch and repair, you will need to check all the supports and brackets that hold that body part in place. These will need to be repaired or replaced also in order for the new body part to fit correctly.']"
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Trunk will not stay open by itself,Worn Trunk Struts,Trunk and hood struts are designed to carry the weight of the hood or trunk. When they can no longer support the weight they should be replaced.,"1) Open the trunk, if the trunk struts can no longer support the weight of the trunk on there own they will need to be replaced.']"
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Spoiler,Damaged Spoiler,"Todays vehicles are made of many plastic parts. Using plastic makes the vehicle lighter and more efficient. Plastic is easily broken and todays minor fender bender, can become costly. Plastic can not be easily repaired if it cracks, therefore even just one crack will mean the entire part needs to be replaced.","1) Locate the damaged area of the vehicle. 2) Determine which part or parts of the vehicle are damaged. For example if your drivers side front fender is damaged,then also check fordamage at the door either from being pushed into it, or from contact. Clean off any loose paint using a cloth or rag.', ""3) Visually inspect the damage, dents can be popped out and will most likely need to be painted. Scratches or scores that go into the metal, can be bondo'd; the process of using a polyester or fiberglass resin to fill a scratch or dent in a metal or plastic body part. However if the damage isexcessive or the body part has become warped or distorted fromthe damage the best course of action is to replace the damaged body part. When it comes to large dents or scratches there is no rule of thumb; when deciding if the body part should be replaced or repaired things to consider are, the cost of the part vs repair of it, and time it would take to repair based on size of damage.  4) For plastic body parts such as; valances, bumper covers, and spoilers, you will want to check for cracks. If the plastic is cracked then it will need to be replaced, for the most part cracked plastic is not easily repaired and it isbest to replace the part. 5) When the damage is beyond a simple patch and repair, you will need to check all the supports and brackets that hold that body part in place. These will need to be repaired or replaced also in order for the new body part to fit correctly.']"
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Tail Light Assembly,Damaged Tail Light Assembly,Tail lights will crack from an impact with a object.,1) Locate the tail light assembly on the rear of the vehicle 2) Check for any cracks in the tail light assembly']
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Rear Fender,Damaged Rear Fender,"Vehicle accidents are stressful and costly. There are many options to fixing body damage, and there are many lower cost options now available. Do some research before taking your vehicle in so you know if the part can be repaired or needs to be replaced, and if it needs to be replaced you may be able to find the part cheaper on your own and save yourself some cash.","1) Locate the damaged area of the vehicle. 2) Determine which part or parts of the vehicle are damaged. For example if your drivers side front fender is damaged,then also check fordamage at the door either from being pushed into it, or from contact. Clean off any loose paint using a cloth or rag.', ""3) Visually inspect the damage, dents can be popped out and will most likely need to be painted. Scratches or scores that go into the metal, can be bondo'd; the process of using a polyester or fiberglass resin to fill a scratch or dent in a metal or plastic body part. However if the damage isexcessive or the body part has become warped or distorted fromthe damage the best course of action is to replace the damaged body part. When it comes to large dents or scratches there is no rule of thumb; when deciding if the body part should be replaced or repaired things to consider are, the cost of the part vs repair of it, and time it would take to repair based on size of damage.  4) For plastic body parts such as; valances, bumper covers, and spoilers, you will want to check for cracks. If the plastic is cracked then it will need to be replaced, for the most part cracked plastic is not easily repaired and it isbest to replace the part. 5) When the damage is beyond a simple patch and repair, you will need to check all the supports and brackets that hold that body part in place. These will need to be repaired or replaced also in order for the new body part to fit correctly.']"
Exterior Body,Rear,What area is damaged on the rear of your vehicle?,Tailgate,Damaged Tailgate,"Vehicle accidents are stressful and costly. There are many options to fixing body damage, and there are many lower cost options now available. Do some research before taking your vehicle in so you know if the part can be repaired or needs to be replaced, and if it needs to be replaced you may be able to find the part cheaper on your own and save yourself some cash.","1) Locate the damaged area of the vehicle. 2) Determine which part or parts of the vehicle are damaged. For example if your drivers side front fender is damaged,then also check fordamage at the door either from being pushed into it, or from contact. Clean off any loose paint using a cloth or rag.', ""3) Visually inspect the damage, dents can be popped out and will most likely need to be painted. Scratches or scores that go into the metal, can be bondo'd; the process of using a polyester or fiberglass resin to fill a scratch or dent in a metal or plastic body part. However if the damage isexcessive or the body part has become warped or distorted fromthe damage the best course of action is to replace the damaged body part. When it comes to large dents or scratches there is no rule of thumb; when deciding if the body part should be replaced or repaired things to consider are, the cost of the part vs repair of it, and time it would take to repair based on size of damage.  4) For plastic body parts such as; valances, bumper covers, and spoilers, you will want to check for cracks. If the plastic is cracked then it will need to be replaced, for the most part cracked plastic is not easily repaired and it isbest to replace the part. 5) When the damage is beyond a simple patch and repair, you will need to check all the supports and brackets that hold that body part in place. These will need to be repaired or replaced also in order for the new body part to fit correctly.']"
Exterior Body,Front,What area is damaged on the front of your vehicle?,Emblem,Damaged emblem,"Todays vehicles are made of many plastic parts. Using plastic makes the vehicle lighter and more efficient. Plastic is easily broken and todays minor fender bender, can become costly. Plastic can not be easily repaired if it cracks, therefore even just one crack will mean the entire part needs to be replaced.",1) Locate the emblem and inspect it for damage.']
Exterior Body,Front,What area is damaged on the front of your vehicle?,Metal Front Bumper,Damaged Front Bumper,"Vehicle accidents are stressful and costly. There are many options to fixing body damage, and there are many lower cost options now available. Do some research before taking your vehicle in so you know if the part can be repaired or needs to be replaced, and if it needs to be replaced you may be able to find the part cheaper on your own and save yourself some cash.","1) Locate the damaged area of the vehicle. 2) Determine which part or parts of the vehicle are damaged. For example if your drivers side front fender is damaged,then also check fordamage at the door either from being pushed into it, or from contact. Clean off any loose paint using a cloth or rag.', ""3) Visually inspect the damage, dents can be popped out and will most likely need to be painted. Scratches or scores that go into the metal, can be bondo'd; the process of using a polyester or fiberglass resin to fill a scratch or dent in a metal or plastic body part. However if the damage isexcessive or the body part has become warped or distorted fromthe damage the best course of action is to replace the damaged body part. When it comes to large dents or scratches there is no rule of thumb; when deciding if the body part should be replaced or repaired things to consider are, the cost of the part vs repair of it, and time it would take to repair based on size of damage.  4) For plastic body parts such as; valances, bumper covers, and spoilers, you will want to check for cracks. If the plastic is cracked then it will need to be replaced, for the most part cracked plastic is not easily repaired and it isbest to replace the part. 5) When the damage is beyond a simple patch and repair, you will need to check all the supports and brackets that hold that body part in place. These will need to be repaired or replaced also in order for the new body part to fit correctly.']"
Electrical Accessories,Power Mirrors,What best describes the problem with your power mirrors?,One or both power mirrors are not moving or are making a clicking sound when moving.,Malfunctioning Power Mirror,"Power mirrors have an internal motor that runs plastic gears; the plastic, and motor can wear and break over time causing the mirror to not work properly through the control switch. Unfortunately these are manufactured as a single unit and it is not an easy task to try and find parts to rebuild the motor or its mechanical parts. The best solution is to replace the entire unit.","1) Inspect the condition of the mirror, if it is damaged then it will need to be replaced, if only the glass is broken you maybe able to replace just the glass. On some makes the mirror glass can be removed, the glassis attached to a plastic frame that is snapped onto the motor that works the angles of the mirror. Some after market manufacturers sell the frame and mirror assembly, otherwise you may need to remove the glass from the frame which can be a more involved process, it is probably easier to replace the entiremirror assemblyif that is the case. 2) Inspect the operation of the power mirror, if the mirror is moving but not in a specific direction then there is a problem with the internal motor operating the direction of the mirror. If only one of the power mirrors is not working then the problem is in the mirror is that not working most likely the motor has failed. If both power mirrors have failed try the fuse.']"
Electrical Accessories,Power Mirrors,What best describes the problem with your power mirrors?,Both power mirrors are not moving,Blown Fuse,"Fuses become blown from electrical overloads or component malfuntions. Fuses also wear out  when exposed to extreme vibration, or heat.  When performing an electrical system  diagnostic, always start by checking the fuses first. Following this simple step could save you time and money. Your owners manual will have information on the location of the fuse panel and identification of the fuses."," 1) The fuse panel can be located in differentlocationsdepending onthe manufacturer, check the owners manual for exact location. If youcan't find the manual, check for the fuse panel under the dash board ondrivers or passangers side, on the side of the dash, in the glove box, or under the hood in the engine compartment.  2) Check the back side of the fuse panel coverfora diagram of the fuses. If not use the owners manual it shoud havelabels or a diagramof the fuse panel. Pull out the fuse for the circuit you are testing. 3) Most vehicleuseblade type fuses and can be checked by simply looking through the transparent plastic. There is an internalmetal strip that melts when it overheats. Check the strip to see if it has melted.']"
Electrical Accessories,Power Windows,What problem are you having with your power windows?,The window is moving up and down very slowly,Faulty Window Regulator,"The most likely cause of a bad window regulator is normal wear. Other possible causes are bent and rusted components. If you have been in an accident, and the door was hit, most likely the regulator has been damaged or bent with the door. If the window seals are leaking, water will leak into the door creating rust and corrosion.Most aftermarket and original equipment (OE) regulators can be purchased with or without the window motor attached. If the motor is old, it makes sense to replace both components while the door is apart. Purchasing the components separately is more expensive, and replacing the motor at a later time, will double the labor cost!","1) The windowregulator is located inside the door of the vehicle, in order to completelycheck the window regulator the door panel will need to be removed.', ""2) Door panels are attached differently based on the manufacturer. For the most part the arm rest will be screwed or bolted to the frame of the door and the rest of the panel is usally held on with push pins or clips. The use of a trim panel tool will help to make sure you don't ruin the panel.  3) Once the panel is off you will have to pull back the piece of plastic that is coveringthe door. Locate the window regulator, If you had to disconnect the window switch to take off the door panel you will want to reconnectthe switch in order to check the regulator. 4) Using the switch operate the window in both directions, keep an eye on the moving parts of the window regulator. You will want to watch the the arms or pulleys of the regulator and theparts that connect the regulator to the glass. Take note ofany problem if any piece is broken you will need to replace the windowregulator.']"
Electrical Accessories,Power Windows,What problem are you having with your power windows?,The window is moving up and down very slowly,Faulty Window Motor,The window motor is an electric motor that typically runs a gear and pulley system (window regulator) to raise and lower the window. The most likely cause of a bad window motor is normal wear. Always inspect the window regulator while you have the door apart. A binding window regulator will cause the widow motor to overwork and shorten the life of the motor.,"1) The power window motor is located inside the door of the vehicle, in order to completely test the window motor the door panel will need to be removed. 2) In some cases you will want to check for power at the windowswitch before you begin taking the entire door panel off. The window switch is either held on with a screw or bolt or is clipped down and can be worked free with a screw driver. there should be enough wire to pull the door away from the switch. Using a test light check for power at the switch. Then check for power at the wires going to the motor. There should be power to one wire when the switch is pushed up and the other when the switch is pushed down.', ""3) Door panels are attached differently based on the manufacturer. For the most part the arm rest will be screwed or bolted to the frame of the door and the rest of the panel is usally held on with push pins or clips. The use of a trim panel tool will help to make sure you don't ruin the panel.  4) Once the panel is off you will have to pull back the piece of plastic that is coveringthe door. Locate the window motor, disconnect the wire connector, using your test light check for power at the connector coming from the window switch, not the wires coming from the window motor. Now with the test light touching the pin toggle the window switch up and down to check for power going to the motor. 5) If you found there was power going to the motor from the switch, then there is most likely an internal malfunction in the motor. If the motor is movingor making noises but the window is not moving then you will want to remove the motor and inspectit and the window regulator for broken components.']"
Electrical Accessories,Power Windows,What problem are you having with your power windows?,The window is moving up and down at an angle,Faulty Window Regulator,"The most likely cause of a bad window regulator is normal wear. Other possible causes are bent and rusted components. If you have been in an accident, and the door was hit, most likely the regulator has been damaged or bent with the door. If the window seals are leaking, water will leak into the door creating rust and corrosion.Most aftermarket and original equipment (OE) regulators can be purchased with or without the window motor attached. If the motor is old, it makes sense to replace both components while the door is apart. Purchasing the components separately is more expensive, and replacing the motor at a later time, will double the labor cost!","1) The windowregulator is located inside the door of the vehicle, in order to completelycheck the window regulator the door panel will need to be removed.', ""2) Door panels are attached differently based on the manufacturer. For the most part the arm rest will be screwed or bolted to the frame of the door and the rest of the panel is usally held on with push pins or clips. The use of a trim panel tool will help to make sure you don't ruin the panel.  3) Once the panel is off you will have to pull back the piece of plastic that is coveringthe door. Locate the window regulator, If you had to disconnect the window switch to take off the door panel you will want to reconnectthe switch in order to check the regulator. 4) Using the switch operate the window in both directions, keep an eye on the moving parts of the window regulator. You will want to watch the the arms or pulleys of the regulator and theparts that connect the regulator to the glass. Take note ofany problem if any piece is broken you will need to replace the windowregulator.']"
