Symptom,Car Problem
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bounces excessively over bumps.",Worn Shocks Absorbers
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bounces excessively over bumps.",Worn Struts
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps.",Worn leaf springs
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps.",Worn coil springs
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps.",Worn Shocks Absorbers
"If you know what is wrong, start by selecting it: Steering & Handling. What steering or handling problem are you having? My vehicle bottoms out over bumps.",Worn Struts
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Battery Charge Warning Light.",Faulty Alternator
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Battery Charge Warning Light.",Serpentine belt slipping/damaged
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Check Engine Light.",Check Engine Light (Fault Codes)
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Oil Pressure Warning Light.",Faulty oil pressure sensor
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Oil Pressure Warning Light.",Worn oil pump
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Oil Pressure Warning Light.",Low Engine Oil
"If you know what is wrong, start by selecting it: Check Engine & Warning Lights. Which warning light is on? Check Engine Light on with code P0382 or, P0400-P0408.",Check Engine Light On (EGR Valve)
"If you know what is wrong, start by selecting it: Exterior Body. Where is your exterior body problem located? Soft top damaged.",Damaged Soft Top
