ID,Describing the Symptoms,assuring,diagnosing symptom,Specific Answer,Asks,Symptom,Ask1,Symptom1,Ask2,Symptom2,Description,InspectionList,Car Problem
896,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"Valve stems are made out of rubber and are prone to dry out and become brittle. Improperly installed valve stems can also allow air to leak out of the tire. The shrader valve may also become loose, which is a smaller valve inside the stem that holds the air pressure.","2) Spray the valve stem with  soapy water, or a household cleaner. Inspect the valve stem to see if bubbles form around it.",Damaged Valve Stem
897,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"Valve stems are made out of rubber and are prone to dry out and become brittle. Improperly installed valve stems can also allow air to leak out of the tire. The shrader valve may also become loose, which is a smaller valve inside the stem that holds the air pressure.","3) Use the saopy liquid method to identify a slow leak, if after spraying the valve stem a leak is visible, replace the valve stem.",Damaged Valve Stem
898,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"Valve stems are made out of rubber and are prone to dry out and become brittle. Improperly installed valve stems can also allow air to leak out of the tire. The shrader valve may also become loose, which is a smaller valve inside the stem that holds the air pressure.","4) The Valve Stem may have ruptures or tears at the base, push the side of the stem and listen for a hissing sound. If the sound is heard, the stem is bad and needs to be replaced.",Damaged Valve Stem
899,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.","1) Park your vehicle on a solid, level surface and chock the wheels on the axle that does not have the flat tire. Lift up the vehicle to inspect the tire. Refer to your vehicle owner's manual for proper lifting techniques.",Punctured Tire
900,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.",2) Always secure the vehicle with a jack stand before starting any work. Never rely on the jack itself to hold the vehicle up while working.,Punctured Tire
901,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.",3) Place the transmission in neutral (if necessary) and rotate the tire while you visually inspect the tread and sidewalls for a puncture. The most common causes of tire punctures are nails and glass.,Punctured Tire
902,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.","4) If the puncture is not apparent, fill the tire with air and spray it with soapy water to locate the leak.",Punctured Tire
903,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tire looks flat,,,,,"A flat tire can happen at any time, Knowing how to change your tire and keeping a regular check on your spare, checking the pressure and quality of the spare, can wind up saving you time, money, and aggravation. Keeping a tire plug kit in your vehicle is also a good way to be prepared incase of a flat. Tire plug kits are inexpensive and can be a life saver on long trips, they come in professional and emergency kits, its a good idea to keep one in your trunk or glove box.",5) Mark the puncture location with chalk.,Punctured Tire
904,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","1) Check the vehicles tires, make sure they are the correct size and  inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.",Wheels out of Alignment
905,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned.",Wheels out of Alignment
906,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal.  The vehicle toe is adjusted by the tie rods and must be equal on both sides.",Wheels out of Alignment
907,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also be caused when the vehicle is out of allignment.",Wheels out of Alignment
908,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.",1) Locate the tires valve stem and remove the valve stem cap.,Unequal Front Tire Pressure
909,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.",Unequal Front Tire Pressure
910,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Tires screech when turning at low speeds,,,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located on the side wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires. Some manufacturers also put it on the manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire ratings, and tire pressure.",Unequal Front Tire Pressure
911,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","1) Check the vehicles tires, make sure they are the correct size and  inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.",Wheels out of Alignment
912,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned.",Wheels out of Alignment
913,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal.  The vehicle toe is adjusted by the tie rods and must be equal on both sides.",Wheels out of Alignment
914,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also be caused when the vehicle is out of allignment.",Wheels out of Alignment
915,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.",1) Locate the tires valve stem and remove the valve stem cap.,Unequal Front Tire Pressure
916,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.",Unequal Front Tire Pressure
917,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the outside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located on the side wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires. Some manufacturers also put it on the manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire ratings, and tire pressure.",Unequal Front Tire Pressure
918,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"Lack of tire rotations will cause the tire wear to become uneven. Improper tire inflation can also cause uneven tire wear. A worn out shock can also cause the tires to cup. If the wheel alignment is out of spec, it will cause uneven tire wear.","1) Using a tire tread gauge is the easiest and fastest ways to check your tire treads. You simple place the tread guage inbetween the tire treads and the guage measurse the length of the tread, measure the tire on the inside treads and the outside treads and calculate eny differences you find. If you do not have acces to a tread guage, try using a coin as a reference place the coin inbetween the tire treads, look for obvious differences in the inner and outer treads.",Lack of Tire Rotation
919,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"Lack of tire rotations will cause the tire wear to become uneven. Improper tire inflation can also cause uneven tire wear. A worn out shock can also cause the tires to cup. If the wheel alignment is out of spec, it will cause uneven tire wear.","2) Tires wearing faster on the inner or outer edges is a sure sign of a front end problem, Have the wheel alignment checked. This type of wear points to a camber issue, this is the vertical angle of the tires to the road, If the outer edge is worn more then the vehicle has to much positive camber and if the inner edge is worn more the vehicle has to much negative camber. If the inner treads are wearing faster or slower than the outer treads, then check the tire pressure, over-inflated tires will wear down the middle treads faster and under-inflated tires will wear both of the outer edges faster.",Lack of Tire Rotation
920,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","1) Check the vehicles tires, make sure they are the correct size and  inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.",Negative Camber
921,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned.",Negative Camber
922,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal.  The vehicle toe is adjusted by the tie rods and must be equal on both sides.",Negative Camber
923,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also be caused when the vehicle is out of allignment.",Negative Camber
924,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.",1) Locate the tires valve stem and remove the valve stem cap.,Low Tire Pressure
925,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.",Low Tire Pressure
926,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Front tires are wearing on the inside edge,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located on the side wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires. Some manufacturers also put it on the manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire ratings, and tire pressure.",Low Tire Pressure
927,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Tires wearing on both edges,,,"Lack of tire rotations will cause the tire wear to become uneven. Improper tire inflation can also cause uneven tire wear. A worn out shock can also cause the tires to cup. If the wheel alignment is out of spec, it will cause uneven tire wear.","1) Using a tire tread gauge is the easiest and fastest ways to check your tire treads. You simple place the tread guage inbetween the tire treads and the guage measurse the length of the tread, measure the tire on the inside treads and the outside treads and calculate eny differences you find. If you do not have acces to a tread guage, try using a coin as a reference place the coin inbetween the tire treads, look for obvious differences in the inner and outer treads.",Lack of Tire Rotation
928,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Tires wearing on both edges,,,"Lack of tire rotations will cause the tire wear to become uneven. Improper tire inflation can also cause uneven tire wear. A worn out shock can also cause the tires to cup. If the wheel alignment is out of spec, it will cause uneven tire wear.","2) Tires wearing faster on the inner or outer edges is a sure sign of a front end problem, Have the wheel alignment checked. This type of wear points to a camber issue, this is the vertical angle of the tires to the road, If the outer edge is worn more then the vehicle has to much positive camber and if the inner edge is worn more the vehicle has to much negative camber. If the inner treads are wearing faster or slower than the outer treads, then check the tire pressure, over-inflated tires will wear down the middle treads faster and under-inflated tires will wear both of the outer edges faster.",Lack of Tire Rotation
929,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Tires wearing on both edges,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.",1) Locate the tires valve stem and remove the valve stem cap.,Low Tire Pressure
930,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Tires wearing on both edges,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","2) Using a tire pressure gauge, hold the gauge down on the valve stem to get the tire pressure reading. Perform this step for all tires on the vehicle.",Low Tire Pressure
931,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Tires wearing on both edges,,,"Tire pressure is often overlooked but it directly influences how a vehicle rides on the road. Low tire pressure can affect handling, ride, and fuel economy. Over-inflating tires can cause the vehicle to ride hard, and the tires to wear prematurely. Temperature directly affects tire pressure, check the pressure regularly.","3) Compare the tire pressure reading you just got to the recommended tire pressure. This is located on the side wall of the tire. The tire pressure is measured in PSI or pounds per square inch. Look for the letters PSI on the tire. Owners manuals also give the tire pressure for the factory installed tires. Some manufacturers also put it on the manufacturers label located in the door jam of the drivers door, it gives the original factory wheel size, tire sizes, tire ratings, and tire pressure.",Low Tire Pressure
932,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","1) Secure the vehicle on a level surface, making sure the vehicle will not roll or lean too much when jacked up.",Worn Tie Rods
933,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.",2) Use a jack to raise the front of the vehicle.,Worn Tie Rods
934,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.",3) Secure the vehicle with jack stands on both sides for safety before starting any work. Do not rely on the jack to hold the vehicle up while working.,Worn Tie Rods
935,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"Tie rod ends are part of the steering system, tie rods are responsible for wheel alignment toe, and steering. Worn tie rod ends can cause abnormal tire wear, front end noise, and wheel shimmy or looseness in steering.","4) Firmly grasp the tie rod end, push or pull the tie rod end vertical. Feel for any looseness, the tie rod end should feel firm and snug, if the tie rod end moves to easily the tie rod should be replaced. Grinding or binding feeling could mean the tie rod end has rusted internally and should be replaced. Check the rubber boot, if it is damaged water and dirt can easily find its way into the tie rod end, and the tie rod end will wear and need to be replaced.",Worn Tie Rods
936,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","1) Check the vehicles tires, make sure they are the correct size and  inflated to the correct and equal pressure. The recommmended PSI is stamped on the tire side wall. Inspect all the tires for abnormal wear, signs of the tire balding on the inside or outside edge are a sign that there could be an allignment issue.",Wheel Aligment (Toe)
937,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","2) Check the steering wheel, the wheel should be in the correct twelve O'clock position when driving in a straight line. If the wheel isn't you will want to have the vehicle alligned.",Wheel Aligment (Toe)
938,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","3) Check the vehicle Toe, Toe in meaning the tires are pointing at each other; as if you where to literally point your toes in. Toe out, the tires are facing more away from each other; again literally pointing your toes out is the comparison. To check the toe use a tape measure and an assistant, with the steering wheel in the straight position. Measure the distance of the front tires from center to center of the tire tread on the leading edge and trailing edge of the tires. This should be equal.  The vehicle toe is adjusted by the tie rods and must be equal on both sides.",Wheel Aligment (Toe)
939,"If you know what is wrong, start by selecting it:",Tires & Wheels,Are you having a problem with your wheels or tires?,Tires,What do you notice about your tires?,Abnormal tire wear,What type of abnormal tire wear are you having?,Feathered,,,"A  wheel alignment is very important, it keeps the vehicle running smooth and makes sure all the parts of the steering and suspension are working together. When the vehicle is out of alignment it can put stress on other components of the steering and suspension and cause them to wear faster. There are also safety concerns when a vehicle is improperly aligned. When you have suspension related parts replaced you should ask your technician if the vehicle needs to be aligned.","4) Test drive the vehicle, by driving on a straight level road. Try and feel if the vehicle is pulling it self to the left or right, sometimes it is more noticable when braking. Vibrations can also be caused when the vehicle is out of allignment.",Wheel Aligment (Toe)
